,,,Political Finance Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CR,CRI,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,No,Not applicable,No,No,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of votes in previous election,Proportional to votes received Other,Campaign spending Ongoing party activities Intra-party institution Research and policy initiatives,No,Votes Received,Not applicable,No,Yes,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,EMB Special agency for political finance,EMB Special agency for political finance,Refer for investigation Carry out investigation Impose sanctions,Fines Loss of public funding
Dominica,DM,DMA,No,No,No,No,No,No,No,No,No data,No data,No data,No data,Yes,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No data,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No Institution specified,EMB,Carry out investigation,Fines Prison Loss of nomination of candidate Loss of political rights Other
Dominican Republic,DO,DOM,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,"Yes, for natural persons",Maximum 1% of allocated public funds,"Yes, for natural persons",Maximum 1% of the total established spending limit for each type of election,"Yes, for natural persons",Maximum 1% of the total spending limit for every public office election,"Yes, donation limit for private persons apply",Yes,No,No,No,No,No,Yes,"Yes, both regularly and in relation to campaigns",Share of votes in previous election,Equal Proportional to votes received,Campaign spending Ongoing party activities Intra-party institution,Yes,Equal Number of candidates,Yes,No,No,No,Yes,Yes,It depends on the office,Yes,Depends on office contested.,"Yes, spending limit exists","Yes, for political parties Yes, for candidates Yes, for third parties","Yes, for political parties Yes, for candidates Yes, for third parties",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB,Refer for investigation Impose sanctions,Fines Loss of public funding Deregistration of party Suspension of public funding
Ecuador,EC,ECU,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, for both natural and legal persons","There is a limit on the amount per donor related to the value of 200 basic food baskets, both for natural and legal persons.","Yes, for natural persons",There is a limit for donation related to a campaign for natural persons: no more than 5% of the highest among of election expenses authorized for each position.,"Yes, for natural persons",5% of the spending limit for every public office election.,"Yes, specific limit for candidates",Yes,Yes,No,No,No,No,Sometimes,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of votes in previous election Registration as a political party,Equal Proportional to votes received,Ongoing party activities Intra-party institution Research and policy initiatives,Yes,Equal,Yes,Yes,No,No,Yes,Yes,"Spending limit depends on the public office election. For national and provincial assemblymen, governors and regional governors and the binomial prefecture and vice prefecture: limit is the amount resulting from multiplying the value of of zero comma fifteen cents of the United States of America by the number of citizens recorded in the registry of the respective jurisdiction. In no case will the spending limit be less than US$ 15,000.",Yes,"Spending limit depends on the public office election. For national and provincial assemblymen, governors and regional governors and the binomial prefecture and vice prefecture: limit is the amount resulting from multiplying the value of of zero comma fifteen cents of the United States of America by the number of citizens recorded in the registry of the respective jurisdiction. In no case will the spending limit be less than US$ 15,000.","Yes, third parties banned from campaign spending","Yes, for third parties",No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB Auditing agency Other,Refer for investigation Carry out investigation Request additional information from potential violator Request additional information from others Impose sanctions,Fines Prison Deregistration of party Loss of elected office Suspension of political party Other
El Salvador,SV,SLV,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"Yes, for both natural and legal persons",other (explain in comments in local currency),"No, but limits for regular periods apply to campaign periods",other (explain in comments in local currency),No,Not applicable,"Yes, specific limit for candidates",Yes,No,No,Sometimes,No,No,Sometimes,No public funding available,Not applicable,Not applicable,Not applicable,Yes,Equal Votes Received,Not applicable,Yes,Not applicable,No,Yes,No,Not applicable,No,Not applicable,No,No,No,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,EMB,EMB,Impose sanctions Carry out investigation Refer for investigation Request additional information from others Request additional information from potential violator,Fines
Grenada,GD,GRD,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No Institution specified,No institution specified,Not applicable,Fines Prison
Guatemala,GT,GTM,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"Yes, for both natural and legal persons",Limit is 10% of the limit imposed on campaign expenses.,"Yes, for both natural and legal persons",Limit is 10% of the limit imposed on campaign expenses.,"Yes, for both natural and legal persons",Candidates cannot receive any source since all sources must be channeled through political parties only,"Yes, donation limit for private persons apply",Yes,Yes,Sometimes,No,No,No data,Yes,"Yes, regularly",Share of votes in previous election,Equal,Campaign spending Ongoing party activities,Yes,Votes Received,No,Yes,No,No,Yes,Yes,USD $.0.50 for each registered citizen (to vote) until Dec 31st of prior year to elections.,No data,No data,"Yes, spending limit exists",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Special agency for political finance,Special agency for political finance,Carry out investigation Request additional information from potential violator Impose sanctions,Fines Prison Deregistration of party Suspension of political party
Guyana,GY,GUY,No,No,No,No,No,No,No,No,No data,No,No,No,No data,No,Not applicable,No,Not applicable,No,Not applicable,"Yes, specific limit for candidates",No data,No data,No,No data,No data,No data,No data,No public funding available,Not applicable,No data,Not applicable,No data,Not applicable,No data,No,Not applicable,No,Yes,Yes,"In the excess of the sum of fifty thousand dollars multiplied by the number of candidates, not exceding 53 on the list of candidates",Yes,Twenty five Thousand dollars,No,No data,No,No data,No data,Yes,Yes,No,Yes,No,Yes,No,EMB,EMB,No data,Fines Prison
Haiti,HT,HTI,No,No,No,No,No,No,Yes,No data,No data,No data,No data,No data,No data,"Yes, for both natural and legal persons","Annual limit for natural persons: 2,000,000.00 gourdes; for legal persons: 10,000,000.00 gourdes.","Yes, for both natural and legal persons","During a political campaign: ""Any donation, in whatever form, made to a candidate, political party or group policy by a natural or legal person is tax-deductible for the donor, following the legal procedures in force. This amount can not be greater than a) Seven million five hundred thousand gourdes (Gdes 7,500,000.00) for a political party or a political grouping; b) Five million gourdes (Gdes 5,000,000.00) for the presidential candidate; c) Two million gourdes (GD 2,000,000.00) for the candidate in the Senate; d) One million gourdes (Gdes 1,000,000.00) for a candidate for the deputation; e) Five hundred thousand gourdes (Gdes 500,000.00) for the candidate cartel at the Municipality; f) Two hundred thousand gourdes (Gdes 200,000.00) for other elective offices. The above ceilings may be revised by notice of the Provisional Electoral Council three (3) months before the start of the election campaign taking into account the inflation index.""","Yes, for both natural and legal persons","During a political campaign: ""Any donation, in whatever form, made to a candidate, political party or group policy by a natural or legal person is tax-deductible for the donor, following the legal procedures in force. This amount can not be greater than a) Seven million five hundred thousand gourdes (Gdes 7,500,000.00) for a political party or a political grouping; b) Five million gourdes (Gdes 5,000,000.00) for the presidential candidate; c) Two million gourdes (GD 2,000,000.00) for the candidate in the Senate; d) One million gourdes (Gdes 1,000,000.00) for a candidate for the deputation; e) Five hundred thousand gourdes (Gdes 500,000.00) for the candidate cartel at the Municipality; f) Two hundred thousand gourdes (Gdes 200,000.00) for other elective offices. The above ceilings may be revised by notice of the Provisional Electoral Council three (3) months before the start of the election campaign taking into account the inflation index.""",No data,Yes,Yes,No data,No data,No data,No,Yes,"Yes, both regularly and in relation to campaigns",Share of votes in previous election Share of seats in previous election Number of candidates nominated,Equal,Ongoing party activities,Yes,Other,No data,Yes,Yes,"Yes, reduced nomination fee",Yes,Yes,"In the context of private financing of political campaigns, the law states that: ""The ceiling for each level is as follows: a) For a candidate for the post of Presidenthe t of the Republic, one hundred million gourdes (100,000,000); b) For a candidate for the post of the Senator, twenty million gourdes (Gdes 20,000,000); (c) For a candidate for the office of Deputy, one million five hundred thousand gourdes (Gdes 1,500,000); d) For the post of a Mayor, one million gourdes (Gdes 1,000,000); (e) For a post of CASEC, two hundred and fifty thousand gourdes (Gdes 250,000); f) For a candidate for ASEC, one hundred thousand gourdes (Gdes 100,000).""",Yes,"In the context of private financing of political campaigns, the law states that: ""The ceiling for each level is as follows: a) For a candidate for the post of Presidenthe t of the Republic, one hundred million gourdes (100,000,000); b) For a candidate for the post of the Senator, twenty million gourdes (Gdes 20,000,000); (c) For a candidate for the office of Deputy, one million five hundred thousand gourdes (Gdes 1,500,000); d) For the post of a Mayor, one million gourdes (Gdes 1,000,000); (e) For a post of CASEC, two hundred and fifty thousand gourdes (Gdes 250,000); f) For a candidate for ASEC, one hundred thousand gourdes (Gdes 100,000). """,No data,No data,No data,No data,Yes,Yes,Yes,No data,No,Yes,Yes,Yes,EMB Ministry,Court Other,Impose sanctions,Loss of public funding Loss of nomination of candidate Suspension of political party Other
Honduras,HN,HND,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,"Yes, for both natural and legal persons","For juridical persons, not above one thousan (1000) minimum wages and, for natural persons, not above two hundred (200) minimum wages.","Yes, for both natural and legal persons","For each election, the Supreme Electoral Tribunal of Honduras publishes an Agreement, which establishes the campaign spending limits for the General Elections and details the limit that each candidate may receive.","Yes, for both natural and legal persons","For each election, the Supreme Electoral Tribunal of Honduras publishes an Agreement, which establishes the campaign spending limits for the General Elections and details the limit that each candidate may receive.","Yes, donation limit for private persons apply",Yes,Yes,No,No,No,No,Yes,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of votes in previous election,Proportional to votes received,Ongoing party activities Intra-party institution,Yes,Equal,Yes,Yes,Yes,"Yes, funds earmarked for gender activities",Yes,Yes,The limits for campaign expenses shall be set for each electoral process,Yes,The limits for campaign expenses shall be set for each electoral process,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB Special agency for political finance,Special agency for political finance,Carry out investigation Request additional information from potential violator Request additional information from others Impose sanctions,Fines Suspension of political party Other
