,,,Political Finance Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JM,JAM,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No data,"Yes, for both natural and legal persons",No data,"Yes, for both natural and legal persons","31,500,000","Yes, for both natural and legal persons","1,500,000 GHS",No,Yes,Yes,No data,No,No,No,Sometimes,"Yes, both regularly and in relation to campaigns",Share of votes in previous election Share of seats in previous election,Equal,Ongoing party activities Research and policy initiatives,No data,No data,No data,No,No,No,Yes,Yes,"630,000,000 GHS",Yes,"15,000,000 GHS",No data,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,No data,Carry out investigation Impose sanctions,Fines Prison Loss of public funding
Mexico,MX,MEX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, for natural persons",other (explain in comments in local currency),"Yes, for both natural and legal persons",other (explain in comments in local currency),"Yes, for legal persons",other (explain in comments in local currency),"Yes, donation limit for private persons apply",Yes,Yes,Sometimes,Sometimes,Sometimes,No,Sometimes,"Yes, both regularly and in relation to campaigns",Registration as a political party,Proportional to votes received Flat rate by votes received,Campaign spending Intra-party institution Research and policy initiatives Other (explain in comments),Yes,Equal Votes Received,Yes,Yes,Yes,"Yes, funds earmarked for gender activities",Yes,Yes,other (explain in comments in local currency),Yes,other (explain in comments in local currency),"Yes, third parties banned from campaign spending","Yes, for candidates Yes, for political parties","Yes, for candidates Yes, for political parties",No,Yes,Yes,Yes,Third parties are banned from participating in campaigns,Yes,Yes,Yes,Yes,EMB,Special agency for political finance,Impose sanctions,Fines Loss of public funding Deregistration of party Loss of political rights
Nicaragua,NI,NIC,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,Yes,"Yes, in relation to campaigns",Share of votes in previous election Participation in election,Proportional to votes received,Campaign spending,Yes,Equal,Yes,Yes,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,EMB Ministry Auditing agency,EMB Ministry Auditing agency,Carry out investigation Request additional information from potential violator Impose sanctions,Fines Prison Deregistration of party Loss of nomination of candidate Loss of political rights Loss of elected office Suspension of political party
Panama,PA,PAN,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,No,Not applicable,"Yes, for both natural and legal persons",other (explain in comments in local currency),"Yes, specific limit for candidates",No,Yes,No,No,No,No,Sometimes,"Yes, both regularly and in relation to campaigns",Participation in election Representation in elected body Share of seats in next election Registration as a political party Share of votes in previous election Share of seats in previous election,Equal Proportional to votes received Other,Campaign spending Intra-party institution Ongoing party activities,Yes,Equal,Yes,Yes,Yes,No,Yes,Yes,other,Yes,other,"Yes, third parties banned from campaign spending","Yes, for candidates Yes, for political parties","Yes, for candidates Yes, for political parties",Yes,Yes,Yes,Yes,Third parties are banned from participating in campaigns,Yes,Yes,Yes,Yes,EMB,EMB,Impose sanctions Carry out investigation Refer for investigation Request additional information from others Request additional information from potential violator,Fines Other Prison Loss of public funding Loss of political rights
Paraguay,PY,PRY,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, for both natural and legal persons",other (explain in comments in local currency),"Yes, for both natural and legal persons",other (explain in comments in local currency),"Yes, for both natural and legal persons",other (explain in comments in local currency),No,Yes,Yes,No,No,No,No,Sometimes,"Yes, both regularly and in relation to campaigns",Share of votes in previous election,Proportional to votes received,Campaign spending Intra-party institution Research and policy initiatives Ongoing party activities,Yes,Equal,No,Yes,No,No,Yes,Yes,other,No,Not applicable,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB,Impose sanctions,Loss of public funding
Peru,PE,PER,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No data,No data,No data,Yes,Yes,"Yes, for both natural and legal persons",other (explain in comments in local currency),"No, but limits for regular periods apply to campaign periods",other (explain in comments in local currency),"Yes, for both natural and legal persons",other (explain in comments in local currency),"Yes, donation limit for private persons apply",Yes,Yes,No,No,No data,No,Sometimes,"Yes, regularly",Representation in elected body,Proportional to votes received,Campaign spending Intra-party institution Research and policy initiatives Ongoing party activities,Yes,Other,No,No,No,No,Yes,No,Not applicable,No,Not applicable,No,"Yes, for candidates Yes, for third parties Yes, for political parties","Yes, for candidates Yes, for political parties",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB,Carry out investigation Refer for investigation Request additional information from others Request additional information from potential violator,Fines Suspension of public funding
Saint Kitts and Nevis,KN,KNA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,Not applicable,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No Institution specified,No institution specified,Not applicable,Fines Prison Loss of political rights Loss of elected office
Saint Lucia,LC,LCA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No data,No data,No data,No,No public funding available,Not applicable,Not applicable,Not applicable,Yes,Share of seats Other,Yes,Yes,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,No,No,No,No Institution specified,No data,No data,None
Saint Vincent and the Grenadines,VC,VCT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,"Yes, regularly",Representation in elected body,No data,No data,No data,No data,No,Yes,No,No data,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No Institution specified,No institution specified,Not applicable,Fines Prison Loss of political rights Loss of elected office
Suriname,SR,SUR,No,No,No,No,No,No,No,No,No,No,No,No,No,No data,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No data,No data,No data,No data,No,No public funding available,Not applicable,No data,Not applicable,No data,No data,No data,No,Not applicable,"Yes, funds earmarked for gender activities",No data,No,Not applicable,No,Not applicable,No,No data,No data,No data,Yes,Yes,Yes,No data,Yes,No data,No data,No data,No Institution specified,No institution specified,Not applicable,None
Trinidad and Tobago,TT,TTO,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,Yes,No,Not applicable,Yes,"50,000 TTD in the case of a Parliamentary election or 25,000 TTD in the case of a Municipal Council or the Tobago House of Assembly election. Additionally, a candidate has a right to cover own personal expenses related to the elections up to 5,000 TTD. This amount is not included in the candidate's overall spending limit.","Yes, spending limit exists",No,No,No,No,No,Yes,No,Yes,Sometimes,Yes,Yes,EMB,Court,Request additional information from potential violator,Fines Prison
Uruguay,UY,URY,Yes,Yes,No,No,Yes,Yes,"Yes, above certain threshold","Yes, above certain threshold",Yes,Yes,No,No,Yes,"Yes, for both natural and legal persons","The limit amount (300.000 UI) per civil year is related to the contribution received by the political party rather than the origin (natural or legal persons). The amount can increase in three times if the donor integrates a national or departamental organ in the political partie or he/she is a Senator, Deputy, Intendent, Local Counselor or Minister. For corporations with legal contracts with the public administration, the limit is 10.000 UI (index units) per year.","Yes, for both natural and legal persons","Limit is 300,000 UI (per donnor and candidate). The amount can increase in three times if the donation comes from a candidate, but that does not apply to the first holder of each list, that has no limit for contributions. Limit is 10,000 UI for corporations with public service provision contracts.","Yes, for both natural and legal persons","Annual limit is 300,000 UI and 10,000 UI for corporations with public service provision contracts.","Yes, specific limit for candidates",No,No,No,No,No,No,Yes,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of votes in previous election Registration as a political party,Flat rate by votes received,Campaign spending Intra-party institution,Yes,Equal Votes Received,Yes,Yes,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB Court,Refer for investigation Carry out investigation Request additional information from potential violator Request additional information from others Impose sanctions Other,Fines Other Suspension of public funding
Venezuela,VE,VEN,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,Yes,No public funding available,Not applicable,Not applicable,Not applicable,Yes,Equal,Yes,No,No,No,No data,No,Not applicable,No,Not applicable,No,"Yes, for political parties",No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,EMB,EMB,Refer for investigation Carry out investigation Request additional information from potential violator Request additional information from others Impose sanctions,Fines Prison Deregistration of party
